% Model:              microstrip_patch_antenna.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 31 2023, 16:50
% Dimension:          3
% Nodes:              1000000
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        mm
% Theta           Phi              r
0.12693304        1.65012947       0.05805068
0.12693304        1.71359599       0.05721396
0.12693304        1.77706251       0.05617040
0.12693304        1.84052903       0.05492729
0.12693304        1.90399555       0.05349235
0.12693304        1.96746207       0.05187367
0.12693304        2.03092858       0.05007967
0.12693304        2.09439510       0.04811901
0.12693304        2.15786162       0.04600059
0.12693304        2.22132814       0.04373346
0.12693304        2.28479466       0.04132686
0.12693304        2.34826118       0.03879010
0.12693304        2.41172769       0.03613263
0.12693304        2.47519421       0.03336393
0.12693304        2.53866073       0.03049357
0.12693304        2.60212725       0.02753115
0.12693304        2.66559377       0.02448631
0.12693304        2.72906028       0.02136871
0.12693304        2.79252680       0.01810973
0.12693304        2.85599332       0.01468598
0.12693304        2.91945984       0.01134106
0.12693304        2.98292636       0.00805724
0.12693304        3.04639288       0.00481696
0.12693304        3.10985939       0.00160276
0.12693304        3.17332591       0.00160276
0.12693304        3.23679243       0.00481696
0.12693304        3.30025895       0.00805724
0.12693304        3.36372547       0.01134106
0.12693304        3.42719199       0.01468598
0.12693304        3.49065850       0.01810973
0.12693304        3.55412502       0.02136871
0.12693304        3.61759154       0.02448631
0.12693304        3.68105806       0.02753115
0.12693304        3.74452458       0.03049357
0.12693304        3.80799110       0.03336393
0.12693304        3.87145761       0.03613263
0.12693304        3.93492413       0.03879010
0.12693304        3.99839065       0.04132686
0.12693304        4.06185717       0.04373346
0.12693304        4.12532369       0.04600059
0.12693304        4.18879020       0.04811901
0.12693304        4.25225672       0.05007967
0.12693304        4.31572324       0.05187367
0.12693304        4.37918976       0.05349235
0.12693304        4.44265628       0.05492729
0.12693304        4.50612280       0.05617040
0.12693304        4.56958931       0.05721396
0.12693304        4.63305583       0.05805068
0.12693304        4.69652235       0.05867378
0.12693304        4.75998887       0.05907710
0.12693304        4.82345539       0.05925515
0.12693304        4.88692191       0.05920325
0.12693304        4.95038842       0.05891766
0.12693304        5.01385494       0.05839571
0.12693304        5.07732146       0.05763601
0.12693304        5.14078798       0.05663860
0.12693304        5.20425450       0.05540529
0.12693304        5.26772102       0.05393993
0.12693304        5.33118753       0.05224886
0.12693304        5.39465405       0.05034147
0.12693304        5.45812057       0.04823097
0.12693304        5.52158709       0.04593544
0.12693304        5.58505361       0.04347937
0.12693304        5.64852012       0.04089581
0.12693304        5.71198664       0.03822944
0.12693304        5.77545316       0.03554104
0.12693304        5.83891968       0.03291350
0.12693304        5.90238620       0.03045912
0.12693304        5.96585272       0.02832622
0.12693304        6.02931923       0.02669884
0.12693304        6.09278575       0.02577844
0.12693304        6.15625227       0.02573901
0.12693304        6.21971879       0.02666916
