% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 19 2023, 10:17
% Dimension:          3
% Nodes:              1000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
-89.99999999999997        69.99999999999999        49.99999999999998        NaN
-69.99999999999999        69.99999999999999        49.99999999999998        NaN
-49.99999999999998        69.99999999999999        49.99999999999998        -0.08122678611563473+0.010010037669926586i
-30                       69.99999999999999        49.99999999999998        -0.11913469207584412-0.598453748896775i
-10                       69.99999999999999        49.99999999999998        -0.4686127202680254+0.16920372751390336i
10                        69.99999999999999        49.99999999999998        -0.3516541047928571-0.176395282626857i
30                        69.99999999999999        49.99999999999998        0.12895349745397838+0.0021373482637511154i
49.99999999999998         69.99999999999999        49.99999999999998        0.054916447139961806-0.0839054961872311i
69.99999999999999         69.99999999999999        49.99999999999998        NaN
89.99999999999997         69.99999999999999        49.99999999999998        NaN
-89.99999999999997        89.99999999999997        49.99999999999998        NaN
-69.99999999999999        89.99999999999997        49.99999999999998        NaN
-49.99999999999998        89.99999999999997        49.99999999999998        NaN
-30                       89.99999999999997        49.99999999999998        NaN
-10                       89.99999999999997        49.99999999999998        NaN
10                        89.99999999999997        49.99999999999998        NaN
30                        89.99999999999997        49.99999999999998        NaN
49.99999999999998         89.99999999999997        49.99999999999998        NaN
69.99999999999999         89.99999999999997        49.99999999999998        NaN
89.99999999999997         89.99999999999997        49.99999999999998        NaN
